Index,Name,Offset
0,countryNumber,System.Int32,0
1,closedBorderOpacity,System.Double,8
2,_airport,System.Int32,16
3,startCountryEvoBonus,System.Int32,20
4,currentPopulation,System.Int64,24
5,originalPopulation,System.Int64,32
6,healthyPopulation,System.Int64,40
7,deadPopulation,System.Int64,48
8,publicOrder,System.Double,56
9,importance,System.Double,64
10,medicalBudget,System.Double,72
11,basePopulationDensity,System.Double,80
12,_isDestroyed,System.Int32,88
13,_wealthy,System.Int32,92
14,_poverty,System.Int32,96
15,_urban,System.Int32,100
16,_rural,System.Int32,104
17,_hot,System.Int32,108
18,_cold,System.Int32,112
19,_humid,System.Int32,116
20,_arid,System.Int32,120
21,localHumanCombatStrength,System.Double,128
22,localHumanCombatStrengthMax,System.Double,136
23,battleVictoryCount,System.Double,144
24,_fortWasDestroyed,System.Int32,152
25,_fortPlaneSpawned,System.Int32,156
26,fortState,EFortState,160
27,govLocalInfectiousness,System.Double,168
28,govLocalCorpseTransmission,System.Double,176
29,govLocalLethality,System.Double,184
30,govLocalSeverity,System.Double,192
31,govPublicOrder,System.Double,200
32,_borderStatus,System.Int32,208
33,_airportStatus,System.Int32,212
34,_portStatus,System.Int32,216
35,_govActionsAllowed,System.Int32,220
36,deadPercent,System.Double,224
37,infectedPercent,System.Double,232
38,zombiePercent,System.Double,240
39,healthyPercent,System.Double,248
40,_hasPorts,System.Int32,256
41,totalZombie,System.Int64,264
42,totalInfected,System.Int64,272
43,healthyPopulationSusceptible,System.Int64,280
44,healthyPopulationImmune,System.Int64,288
45,apeOriginalPopulation,System.Int64,296
46,apeLabStatus,EApeLabState,304
47,apeColonyStatus,EApeColonyState,308
48,apeNumDestroyedLabs,System.Int32,312
49,apeNumDestroyedColonies,System.Int32,316
50,_apeHordeMoving,System.Int32,320
51,labDayCount,System.Double,328
52,labCapacity,System.Double,336
53,labDailyResearch,System.Double,344
54,govLocalApeInfectiousness,System.Double,352
55,govLocalApeLethality,System.Double,360
56,localDanger,System.Double,368
57,infectBoostCount,System.Int32,376
58,lethalBoostCount,System.Int32,380
59,doubleInfected,System.Boolean,384
60,coopLabStatus,ECoopLabState,388
61,coopLabDiseaseId,System.Int32,392
62,isNuclear,System.Boolean,396
63,id,System.String,400
