Index,Name,Type,Offset
0,id,System.Int32,0
1,_evoPoints,System.Int32,4
2,_closedBordersSpreadEnhance,System.Int32,8
3,_nexusBonus,System.Int32,12
4,globalInfectiousness,System.Double,16
5,globalInfectiousnessMax,System.Double,24
6,globalSeverity,System.Double,32
7,globalSeverityMax,System.Double,40
8,globalLethality,System.Double,48
9,globalLethalityMax,System.Double,56
10,cureRequirements,System.Double,64
11,cureRequirementBase,System.Double,72
12,cureBaseMultiplier,System.Double,80
13,researchInefficiencyMultiplier,System.Double,88
14,researchInefficiency,System.Double,96
15,globalCureResearch,System.Double,104
16,globalCureResearchThisTurn,System.Double,112
17,cureCompletePercent,System.Double,120
18,globalAirRate,System.Double,128
19,globalSeaRate,System.Double,136
20,globalLandRate,System.Double,144
21,globalInfectedPercent,System.Double,152
22,globalZombiePercent,System.Double,160
23,infectedPointsPotAll,System.Double,168
24,infectedPointsPot,System.Double,176
25,dnaPointsGained,System.Int32,184
26,globalSeverityPlusLethality,System.Double,192
27,natCatCounter,System.Int32,200
28,_turnNumber,System.Int32,204
29,uncontrolledAttackBias,System.Double,208
30,evoPointsSpent,System.Int32,216
31,evoPointsPrevTurn,System.Int32,220
32,numTurnsWithoutEvoChange,System.Int32,224
33,evoBoost,System.Int32,228
34,symptomExtraCost,System.Int32,232
35,abilityExtraCost,System.Int32,236
36,transmissionExtraCost,System.Int32,240
37,_symptomCostIncrease,System.Int32,244
38,_abilityCostIncrease,System.Int32,248
39,_transmissionCostIncrease,System.Int32,252
40,geneticDrift,System.Double,256
41,geneticDriftMax,System.Double,264
42,numDNABubbles,System.Int32,272
43,numDNABubblesWithoutTouch,System.Int32,276
44,numCureBubblesWithoutTouch,System.Int32,280
45,numInfectBubblesWithoutTouch,System.Int32,284
46,orangeBubbleMult,System.Int32,288
47,redBubbleMult,System.Int32,292
48,_blueBubbleBonusDNA,System.Int32,296
49,_bubbleAutopress,System.Int32,300
50,_dnaBubbleShowing,System.Int32,304
51,symptomDevolveCost,System.Int32,308
52,symptomDevolveCostIncrease,System.Int32,312
53,transmissionDevolveCost,System.Int32,316
54,transmissionDevolveCostIncrease,System.Int32,320
55,abilityDevolveCost,System.Int32,324
56,abilityDevolveCostIncrease,System.Int32,328
57,_cureFlag,System.Int32,332
58,_cureFlagOverride,System.Int32,336
59,_diseaseNoticed,System.Int32,340
60,wealthy,System.Double,344
61,poverty,System.Double,352
62,urban,System.Double,360
63,rural,System.Double,368
64,hot,System.Double,376
65,cold,System.Double,384
66,humid,System.Double,392
67,arid,System.Double,400
68,landTransmission,System.Double,408
69,seaTransmission,System.Double,416
70,airTransmission,System.Double,424
71,corpseTransmission,System.Double,432
72,mutation,System.Double,440
73,mutationCounter,System.Double,448
74,mutationTrigger,System.Double,456
75,_transmissionRandomMutations,System.Int32,464
76,_abilityRandomMutations,System.Int32,468
77,_mutatedThisTurn,System.Int32,472
78,nexusMinInfect,System.Double,480
79,nexusBonusGene,System.Double,488
80,globalInfectiousnessTopMultipler,System.Double,496
81,globalInfectiousnessBottomValue,System.Double,504
82,globalSeverityTopMultipler,System.Double,512
83,globalSeverityBottomValue,System.Double,520
84,globalLethalityTopMultipler,System.Double,528
85,globalLethalityBottomValue,System.Double,536
