Index,Name,Type,Offset
0,countryNumber,System.Int32,0
1,diseaseID,System.Int32,4
2,killedPopulation,System.Int64,8
3,_controlledInfected,System.Int64,16
4,zombie,System.Int64,24
5,uncontrolledInfected,System.Int64,32
6,prevKilled,System.Int64,40
7,prevInfected,System.Int64,48
8,prevZombie,System.Int64,56
9,prevInfectedApes,System.Int64,64
10,localPriority,System.Double,72
11,localBonusPriority,System.Double,80
12,localCureResearch,System.Double,88
13,cureResearchAllocation,System.Double,96
14,localPriorityCounter,System.Double,104
15,localInfectiousness,System.Double,112
16,localSeverity,System.Double,120
17,localLethality,System.Double,128
18,localCorpseTransmission,System.Double,136
19,localInfectedPercent,System.Double,144
20,diseaseSpecificLocalInfectiousness,System.Double,152
21,diseaseSpecificLocalLethality,System.Double,160
22,deadPercent,System.Double,168
23,infectedPercent,System.Double,176
24,zombiePercent,System.Double,184
25,infectedPopulationOverride,System.Double,192
26,deadPopulationOverride,System.Double,200
27,maxDeadChangePerTurn,System.Double,208
28,H2I,System.Double,216
29,I2D,System.Double,224
30,D2Z,System.Double,232
31,I2Z,System.Double,240
32,H2Z,System.Double,248
33,H2D,System.Double,256
34,Z2D,System.Double,264
35,D2ZOverride,System.Double,272
36,I2ZOverride,System.Double,280
37,H2ZOverride,System.Double,288
38,H2DOverride,System.Double,296
39,Z2DOverride,System.Double,304
40,cureRollout,System.Double,312
41,borderStatusValue,System.Double,320
42,turnsSinceBluePlane,System.Int32,328
43,_isSuperCureCountry,System.Int32,332
44,_isNexus,System.Int32,336
45,zombieInactivityCounter,System.Int32,340
46,localZombieCombatStrength,System.Double,344
47,localZombieCombatStrengthMax,System.Double,352
48,localZombieDecayMultiplier,System.Double,360
49,localZombieDecayOverride,System.Double,368
50,maxDecayChangePerTurn,System.Double,376
51,originalPopulation,System.Int64,384
52,uninfectedPopulation,System.Int64,392
53,flaskBroken,System.Int32,400
54,flaskResearched,System.Int32,404
55,flaskEmpty,System.Int32,408
56,I2DAdditional,System.Double,416
57,apeHealthyPopulation,System.Int64,424
58,apeDeadPopulation,System.Int64,432
59,apeInfectedPopulation,System.Int64,440
60,healthyImmunePercent,System.Double,448
61,healthySusceptiblePercent,System.Double,456
62,apeTotalAlivePopulation,System.Double,464
63,apeH2I,System.Double,472
64,apeI2D,System.Double,480
65,apeH2D,System.Double,488
66,apePercCaptivity,System.Double,496
67,apeHealthyPercent,System.Double,504
68,apeInfectedPercent,System.Double,512
69,apeDeadPercent,System.Double,520
70,immuneH2D,System.Double,528
71,susceptibleH2D,System.Double,536
72,apePriorityLevelLocal,System.Double,544
73,apePriorityLevelLocalRaw,System.Double,552
74,apeActivityLevel,System.Double,560
75,apeStatusRampage,System.Int32,568
76,daysSinceLocalDrone,System.Int32,572
77,apeHiddenCounter,System.Int32,576
78,apeRampageCounter,System.Int32,580
79,apeFirstInfectionEffectDone,System.Int32,584
80,apeSuitability,System.Double,592
81,masterLabFlag,System.Int32,600
82,apeRampageMission,System.Int32,604
83,localApeInfectiousness,System.Double,608
84,localApeLethality,System.Double,616
85,apePopMod,System.Double,624
86,apeInfectionRate,System.Double,632
87,humanStrength,System.Double,640
88,localApeStrength,System.Double,648
89,apeActivityImpact,System.Double,656
90,apeColonyBubbleCounter,System.Int32,664
91,droneAttackSuccessFlag,System.Int32,668
92,localDroneCounter,System.Double,672
93,gemBonusInfectivity,System.Double,680
94,gemBonusSeverity,System.Double,688
95,gemBonusLethality,System.Double,696
96,gemBonusInfectivityMultiplier,System.Double,704
97,gemBonusSeverityMultiplier,System.Double,712
98,gemBonusLethalityMultiplier,System.Double,720
99,gemBonusLocalConditionMultiplierMin,System.Double,728
100,gemBonusLocalConditionMultiplierMax,System.Double,736
101,immuneShockCounter,System.Int32,744
102,unscheduledFlightCounter,System.Int32,748
103,benignMimicCounter,System.Int32,752
104,infectBoostCounter,System.Int32,756
105,lethalBoostCounter,System.Int32,760
106,coopLabLocalCounter,System.Int32,764
107,coopLabDaysActive,System.Int32,768
