Index,Name,Offset
0,name,System.String,0
1,evoPoints,System.Int32,8
2,dnaPointsGained,System.Int32,12
3,totalInfected,System.Int64,16
4,totalControlledInfected,System.Int64,24
5,infectedPointsPot,System.Double,32
6,infectedPointsPotAll,System.Double,40
7,totalDead,System.Int64,48
8,totalZombie,System.Int64,56
9,deadThisTurn,System.Int64,64
10,zombiesThisTurn,System.Int64,72
11,cureCompletePercent,System.Single,80
12,infectedIncomeTurnDNA,System.Single,84
13,globalHealthyPercent,System.Double,88
14,infectedIncome,System.Double,96
15,incomeRemainder,System.Double,104
16,infectedThisTurn,System.Double,112
17,globalSeverity,System.Single,120
18,infectedApesThisTurn,System.Int64,128
19,currentInfectedApes,System.Int64,136
