Index,Name,Type,Offset
0,id,System.Int32,0
1,_evoPoints,System.Int32,4
2,_closedBordersSpreadEnhance,System.Int32,8
3,_nexusBonus,System.Int32,12
4,globalInfectiousness,System.Single,16
5,globalInfectiousnessMax,System.Single,20
6,globalSeverity,System.Single,24
7,globalSeverityMax,System.Single,28
8,globalLethality,System.Single,32
9,globalLethalityMax,System.Single,36
10,cureRequirements,System.Single,40
11,cureRequirementBase,System.Single,44
12,cureBaseMultiplier,System.Single,48
13,researchInefficiencyMultiplier,System.Single,52
14,researchInefficiency,System.Single,56
15,globalCureResearch,System.Single,60
16,globalCureResearchThisTurn,System.Single,64
17,cureCompletePercent,System.Single,68
18,globalAirRate,System.Single,72
19,globalSeaRate,System.Single,76
20,globalLandRate,System.Single,80
21,globalInfectedPercent,System.Single,84
22,globalZombiePercent,System.Single,88
23,infectedPointsPotAll,System.Single,92
24,infectedPointsPot,System.Single,96
25,dnaPointsGained,System.Int32,100
26,globalSeverityPlusLethality,System.Single,104
27,natCatCounter,System.Int32,108
28,_turnNumber,System.Int32,112
29,uncontrolledAttackBias,System.Single,116
30,evoPointsSpent,System.Int32,120
31,evoPointsPrevTurn,System.Int32,124
32,numTurnsWithoutEvoChange,System.Int32,128
33,evoBoost,System.Int32,132
34,symptomExtraCost,System.Int32,136
35,abilityExtraCost,System.Int32,140
36,transmissionExtraCost,System.Int32,144
37,_symptomCostIncrease,System.Int32,148
38,_abilityCostIncrease,System.Int32,152
39,_transmissionCostIncrease,System.Int32,156
40,geneticDrift,System.Single,160
41,geneticDriftMax,System.Single,164
42,numDNABubbles,System.Int32,168
43,numDNABubblesWithoutTouch,System.Int32,172
44,numCureBubblesWithoutTouch,System.Int32,176
45,numInfectBubblesWithoutTouch,System.Int32,180
46,orangeBubbleMult,System.Int32,184
47,redBubbleMult,System.Int32,188
48,_blueBubbleBonusDNA,System.Int32,192
49,_bubbleAutopress,System.Int32,196
50,_dnaBubbleShowing,System.Int32,200
51,symptomDevolveCost,System.Int32,204
52,symptomDevolveCostIncrease,System.Int32,208
53,transmissionDevolveCost,System.Int32,212
54,transmissionDevolveCostIncrease,System.Int32,216
55,abilityDevolveCost,System.Int32,220
56,abilityDevolveCostIncrease,System.Int32,224
57,_cureFlag,System.Int32,228
58,_cureFlagOverride,System.Int32,232
59,_diseaseNoticed,System.Int32,236
60,wealthy,System.Single,240
61,poverty,System.Single,244
62,urban,System.Single,248
63,rural,System.Single,252
64,hot,System.Single,256
65,cold,System.Single,260
66,humid,System.Single,264
67,arid,System.Single,268
68,landTransmission,System.Single,272
69,seaTransmission,System.Single,276
70,airTransmission,System.Single,280
71,corpseTransmission,System.Single,284
72,mutation,System.Single,288
73,mutationCounter,System.Single,292
74,mutationTrigger,System.Single,296
75,_transmissionRandomMutations,System.Int32,300
76,_abilityRandomMutations,System.Int32,304
77,_mutatedThisTurn,System.Int32,308
78,nexusMinInfect,System.Single,312
79,nexusBonusGene,System.Single,316
80,globalInfectiousnessTopMultipler,System.Single,320
81,globalInfectiousnessBottomValue,System.Single,324
82,globalSeverityTopMultipler,System.Single,328
83,globalSeverityBottomValue,System.Single,332
84,globalLethalityTopMultipler,System.Single,336
85,globalLethalityBottomValue,System.Single,340
